# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
0.0000,100758.33,68146.97,2140.0000,0.52004,NaN,267.730,8000.0
0.1679,100069.97,67458.62,2119.7374,0.51649,NaN,268.927,8000.0
0.3358,99381.62,66770.26,2099.4747,0.51294,NaN,270.124,8000.0
0.5037,98693.27,66081.91,2079.2121,0.50938,NaN,271.322,8000.0
0.6716,98004.91,65393.56,2058.9495,0.50583,NaN,272.519,8000.0
0.8395,97316.56,64705.21,2038.6869,0.50228,NaN,273.716,8000.0
1.0073,96628.21,64016.85,2018.4242,0.49873,NaN,274.914,8000.0
1.1752,95939.85,63328.50,1998.1616,0.49517,NaN,276.111,8000.0
1.3431,95251.50,62640.15,1977.8990,0.49162,NaN,277.308,8000.0
1.5110,94563.15,61951.79,1957.6364,0.48807,NaN,278.506,8000.0
1.6789,93874.79,61263.44,1937.3737,0.48451,NaN,279.703,8000.0
1.8468,93186.44,60575.09,1917.1111,0.48096,NaN,280.900,8000.0
2.0147,92498.09,59886.73,1896.8485,0.47741,NaN,282.097,8000.0
2.1826,91809.74,59198.38,1876.5859,0.47386,NaN,283.295,8000.0
2.3505,91121.38,58510.03,1856.3232,0.47030,NaN,284.492,8000.0
2.5184,90433.03,57821.67,1836.0606,0.46675,NaN,285.689,8000.0
2.6863,89744.68,57133.32,1815.7980,0.46320,NaN,286.887,8000.0
2.8541,89056.32,56444.97,1795.5354,0.45964,NaN,288.084,8000.0
3.0220,88367.97,55756.61,1775.2727,0.45609,NaN,289.281,8000.0
3.1899,87679.62,55068.26,1755.0101,0.45254,NaN,290.479,8000.0
3.3578,86991.26,54379.91,1734.7475,0.44899,NaN,291.676,8000.0
3.5257,86302.91,53691.55,1714.4848,0.44543,NaN,292.873,8000.0
3.6936,85614.56,53003.20,1694.2222,0.44188,NaN,294.070,8000.0
3.8615,84926.20,52314.85,1673.9596,0.43833,NaN,295.268,8000.0
4.0294,84237.85,51626.49,1653.6970,0.43478,NaN,296.465,8000.0
4.1973,83549.50,50938.14,1633.4343,0.43122,NaN,297.662,8000.0
4.3652,82861.14,50249.79,1613.1717,0.42767,NaN,298.860,8000.0
4.5331,82172.79,49561.43,1592.9091,0.42412,NaN,300.057,8000.0
4.7009,81484.44,48873.08,1572.6465,0.42056,NaN,301.254,8000.0
4.8688,80796.08,48184.73,1552.3838,0.41701,NaN,302.452,8000.0
5.0367,80107.73,47496.37,1532.1212,0.41346,NaN,303.649,8000.0
5.2046,79419.38,46808.02,1511.8586,0.40991,NaN,304.846,8000.0
5.3725,78731.02,46119.67,1491.5960,0.40635,NaN,306.043,8000.0
5.5404,78042.67,45431.31,1471.3333,0.40280,NaN,307.241,8000.0
5.7083,77354.32,44742.96,1451.0707,0.39925,NaN,308.438,8000.0
5.8762,76665.96,44054.61,1430.8081,0.39569,NaN,309.635,8000.0
6.0441,75977.61,43366.25,1410.5455,0.39214,NaN,310.833,8000.0
6.2120,75289.26,42677.90,1390.2828,0.38859,NaN,312.030,8000.0
6.3799,74600.90,41989.55,1370.0202,0.38504,NaN,313.227,8000.0
6.5478,73912.55,41301.19,1349.7576,0.38148,NaN,314.424,8000.0
6.7156,73224.20,40612.84,1329.4949,0.37793,NaN,315.622,8000.0
6.8835,72535.84,39924.49,1309.2323,0.37438,NaN,316.819,8000.0
7.0514,71847.49,39236.14,1288.9697,0.37083,NaN,318.016,8000.0
7.2193,71159.14,38547.78,1268.7071,0.36727,NaN,319.214,8000.0
7.3872,70470.78,37859.43,1248.4444,0.36372,NaN,320.411,8000.0
7.5551,69782.43,37171.08,1228.1818,0.36017,NaN,321.608,8000.0
7.7230,69094.08,36482.72,1207.9192,0.35661,NaN,322.806,8000.0
7.8909,68405.72,35794.37,1187.6566,0.35306,NaN,324.003,8000.0
8.0588,67717.37,35106.02,1167.3939,0.34951,NaN,325.200,8000.0
8.2267,67029.02,34417.66,1147.1313,0.34596,NaN,326.397,8000.0
8.3946,66340.66,33729.31,1126.8687,0.34240,NaN,327.595,8000.0
8.5624,65652.31,33040.96,1106.6061,0.33885,NaN,328.792,8000.0
8.7303,64963.96,32352.60,1086.3434,0.33530,NaN,329.989,8000.0
8.8982,64275.61,31664.25,1066.0808,0.33174,NaN,331.187,8000.0
9.0661,63587.25,30975.90,1045.8182,0.32819,NaN,332.384,8000.0
9.2340,62898.90,30287.54,1025.5556,0.32464,NaN,333.581,8000.0
9.4019,62210.55,29599.19,1005.2929,0.32109,NaN,334.779,8000.0
9.5698,61522.19,28910.84,985.0303,0.31753,NaN,335.976,8000.0
9.7377,60833.84,28222.48,964.7677,0.31398,NaN,337.173,8000.0
9.9056,60145.49,27534.13,944.5051,0.31043,NaN,338.370,8000.0
10.0735,59457.13,26845.78,924.2424,0.30687,NaN,339.568,8000.0
10.2414,58768.78,26157.42,903.9798,0.30332,NaN,340.765,8000.0
10.4092,58080.43,25469.07,883.7172,0.29977,NaN,341.962,8000.0
10.5771,57392.07,24780.72,863.4545,0.29622,NaN,343.160,8000.0
10.7450,56703.72,24092.36,843.1919,0.29266,NaN,344.357,8000.0
10.9129,56015.37,23404.01,822.9293,0.28911,NaN,345.554,8000.0
11.0808,55327.01,22715.66,802.6667,0.28556,NaN,346.752,8000.0
11.2487,54638.66,22027.30,782.4040,0.28201,NaN,347.949,8000.0
11.4166,53950.31,21338.95,762.1414,0.27845,NaN,349.146,8000.0
11.5845,53261.95,20650.60,741.8788,0.27490,NaN,350.343,8000.0
11.7524,52573.60,19962.24,721.6162,0.27135,NaN,351.541,8000.0
11.9203,51885.25,19273.89,701.3535,0.26779,NaN,352.738,8000.0
12.0882,51196.89,18585.54,681.0909,0.26424,NaN,353.935,8000.0
12.2560,50508.54,17897.18,660.8283,0.26069,NaN,355.133,8000.0
12.4239,49820.19,17208.83,640.5657,0.25714,NaN,356.330,8000.0
12.5918,49131.83,16520.48,620.3030,0.25358,NaN,357.527,8000.0
12.7597,48443.48,15832.12,600.0404,0.25003,NaN,358.724,8000.0
12.9276,47755.13,15143.77,579.7778,0.24648,NaN,359.922,8000.0
13.0955,47066.77,14455.42,559.5152,0.24292,NaN,361.119,8000.0
13.2634,46378.42,13767.06,539.2525,0.23937,NaN,362.316,8000.0
13.4313,45690.07,13078.71,518.9899,0.23582,NaN,363.514,8000.0
13.5992,45001.71,12390.36,498.7273,0.23227,NaN,364.711,8000.0
13.7671,44313.36,11702.01,478.4646,0.22871,NaN,365.908,8000.0
13.9350,43625.01,11013.65,458.2020,0.22516,NaN,367.106,8000.0
14.1028,42936.65,10325.30,437.9394,0.22161,NaN,368.303,8000.0
14.2707,42248.30,9636.95,417.6768,0.21806,NaN,369.500,8000.0
14.4386,41559.95,8948.59,397.4141,0.21450,NaN,370.697,8000.0
14.6065,40871.59,8260.24,377.1515,0.21095,NaN,371.895,8000.0
14.7744,40183.24,7571.89,356.8889,0.20740,NaN,373.092,8000.0
14.9423,39494.89,6883.53,336.6263,0.20384,NaN,374.289,8000.0
15.1102,38806.54,6195.18,316.3636,0.20029,NaN,375.487,8000.0
15.2781,38118.18,5506.83,296.1010,0.19674,NaN,376.684,8000.0
15.4460,37429.83,4818.47,275.8384,0.19319,NaN,377.881,8000.0
15.6139,36741.48,4130.12,255.5758,0.18963,NaN,379.079,8000.0
15.7818,36053.12,3441.77,235.3131,0.18608,NaN,380.276,8000.0
15.9496,35364.77,2753.41,215.0505,0.18253,NaN,381.473,8000.0
16.1175,34676.42,2065.06,194.7879,0.17897,NaN,382.670,8000.0
16.2854,33988.06,1376.71,174.5253,0.17542,NaN,383.868,8000.0
16.4533,33299.71,688.35,154.2626,0.17187,NaN,385.065,8000.0
16.6212,32611.36,0.00,134.0000,0.16832,NaN,386.262,8000.0
16.6222,32611.36,0.00,134.0000,0.16832,NaN,386.262,0.0
616.6212,32611.36,0.00,134.0000,0.16832,NaN,386.262,0.0
